    81         1       3275.2   3275.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3150.9   3150.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3045.1   3045.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2930.5   2930.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2933.7   2933.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2927.4   2927.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2906.8   2906.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2925.1   2925.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2941.6   2941.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2904.2   2904.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2947.2   2947.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2945.3   2945.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2901.9   2901.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2888.5   2888.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2883.5   2883.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2891.6   2891.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2876.0   2876.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2923.1   2923.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2925.3   2925.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2902.6   2902.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2913.7   2913.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2899.5   2899.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2890.1   2890.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2887.9   2887.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2912.0   2912.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2902.3   2902.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2996.3   2996.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2932.5   2932.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2910.3   2910.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2885.1   2885.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2900.0   2900.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3385.2   3385.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3194.9   3194.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3128.0   3128.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2975.0   2975.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2894.0   2894.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2889.4   2889.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2966.3   2966.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2910.2   2910.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2974.1   2974.1      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2877.7   2877.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2900.8   2900.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3403.4   3403.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2912.2   2912.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3021.2   3021.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2930.6   2930.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2917.4   2917.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2885.2   2885.2      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3726.9   3726.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3137.5   3137.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2874.3   2874.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
