    83         1       3443.0   3443.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2959.7   2959.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2979.9   2979.9      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       3203.7   3203.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2971.5   2971.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2905.7   2905.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2921.3   2921.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2904.6   2904.6      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2974.0   2974.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2917.3   2917.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2935.4   2935.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2968.4   2968.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2909.4   2909.4      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2910.0   2910.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2905.5   2905.5      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2902.3   2902.3      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    83         1       2893.7   2893.7      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
