    81         1       2408.7   2408.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2420.4   2420.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2404.6   2404.6      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2422.7   2422.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3161.8   3161.8      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2408.6   2408.6      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2382.5   2382.5      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       3465.0   3465.0      0.2      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2528.8   2528.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2742.7   2742.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2497.1   2497.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       9727.4   9727.4      0.4      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2436.5   2436.5      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2775.4   2775.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2437.8   2437.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2405.3   2405.3      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2620.7   2620.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2640.5   2640.5      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2423.1   2423.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2723.4   2723.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2432.1   2432.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2476.4   2476.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2478.1   2478.1      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2685.6   2685.6      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2409.4   2409.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2421.7   2421.7      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2455.6   2455.6      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2386.3   2386.3      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2507.2   2507.2      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2393.8   2393.8      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2430.2   2430.2      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2490.4   2490.4      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2439.2   2439.2      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
    81         1       2404.2   2404.2      0.1      problem = crocoddyl.ShootingProblem(x0, [runningModel] * T, terminalModel)
